column,row,piece,empty
A,1,WR1,0
B,1,WN1,0
C,1,WB1,0
D,1,WQ,0
E,1,WK,0
F,1,WB2,0
G,1,WN2,0
H,1,WR2,0
A,2,WP1,0
B,2,WP2,0
C,2,WP3,0
D,2,WP4,0
E,2,WP5,0
F,2,WP6,0
G,2,WP7,0
H,2,WP8,0
A,3,NULL,1
B,3,NULL,1
C,3,NULL,1
D,3,NULL,1
E,3,NULL,1
F,3,NULL,1
G,3,NULL,1
H,3,NULL,1
A,4,NULL,1
B,4,NULL,1
C,4,NULL,1
D,4,NULL,1
E,4,NULL,1
F,4,NULL,1
G,4,NULL,1
H,4,NULL,1
A,5,NULL,1
B,5,NULL,1
C,5,NULL,1
D,5,NULL,1
E,5,NULL,1
F,5,NULL,1
G,5,NULL,1
H,5,NULL,1
A,6,NULL,1
B,6,NULL,1
C,6,NULL,1
D,6,NULL,1
E,6,NULL,1
F,6,NULL,1
G,6,NULL,1
H,6,NULL,1
A,7,BP1,0
B,7,BP2,0
C,7,BP3,0
D,7,BP4,0
E,7,BP5,0
F,7,BP6,0
G,7,BP7,0
H,7,BP8,0
A,8,BR1,0
B,8,BN1,0
C,8,BB1,0
D,8,BQ,0
E,8,BK,0
F,8,BB2,0
G,8,BN2,0
H,8,BR2,0
